subject,trial,condition,block,sound_file,arousal,valence,time_bin_s,pupil_pct_change_sound_pre500to0_bin,pupil_bin_valid_ratio,pupil_bin_valid_ratio_lt50,trial_is_rejected_pupil,pupil_baseline_pre500to0,reverse_latency_main_s,mean_aligned_spv_0to2s,congruent_occupancy_0to2s,reverse_found_main,n_valid_slowphases
sub-20,53,WB,2,19.wav,4,5,0.95,-5.99643137575592,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,1.05,-4.39941584335896,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,1.15,-3.25885417686001,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,1.25,-3.78906822080095,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,1.35,-4.7680136236441,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,1.45,-4.87135589784549,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,1.55,-4.23595716981059,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,1.65,-2.64640318777548,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,1.75,-1.60682965913332,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,1.85,-1.8621257468929,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,1.95,-2.59793839473056,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,2.05,-3.51513093803403,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,2.15,-3.3655389431511,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,2.25,-2.5859198226447,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,2.35,-1.57476360302156,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,2.45,-0.960267097226832,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,2.55,-1.68955317923845,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,2.65,-2.47632734460115,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,2.75,-3.04977433581442,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,2.85,-3.92116689387425,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,2.95,-4.41903983888491,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,3.05,-4.14939829840525,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,3.15,-4.14880344243627,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,3.25,-4.78674964187607,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,3.35,-4.78753153534413,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,3.45,-4.26987176352514,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,3.55,-4.7238585729782,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,3.65,-6.17397401485421,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,3.75,-6.79380756939464,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,3.85,-5.90547368364832,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,3.95,-3.93204969064217,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,4.05,-4.33744115783975,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,4.15,-6.07634104692693,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,4.25,-6.75712419128771,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,4.35,-6.49989725097891,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,4.45,-5.47164779232979,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,4.55,-3.2157957485964,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,4.65,-1.09233263473539,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,4.75,-0.119368854262172,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,4.85,-1.11179473230542,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,4.95,-3.42580561810812,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,5.05,-4.16533704476811,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,5.15,-2.72161212886736,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,5.25,-0.948615793737992,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,5.35,-0.106417301926127,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,5.45,0.443370931583216,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,5.55,0.923422777769399,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,5.65,0.0991805039237783,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,5.75,-1.19875184402974,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,5.85,-1.52838020127146,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,53,WB,2,19.wav,4,5,5.95,-1.39432494328043,1,0,0,22.7439259682826,0.394,8.81034127940744,0.66033966033966,1,9
sub-20,56,WB,2,9.wav,6,6,0.05,-1.8140325871628,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,0.15,-1.23418204848143,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
